ID,Bearbeiter,Active,quelle,titel_de,description_de,group,Dauer (Minuten),Schwerpunkt,Level,Anleitung,Material,Unnamed: 12
28.0,Andreas,,HOME,Frisbee-Golf,"Sucht euch immer neue Ziele, die ihr versucht mit dem Frisbee zu treffen. Wie viele Würfe benötigt ihr für 18 ""Loch""?", ,45-60,,2,,Frisbee,
29.0,Andreas,,HOME,Glücksbringer,"Seid einen Tag lang echte Glücksbringer am Lagerplatz - achtet darauf, was die Leute die euch umgeben Super macht uns sagt es Ihnen! Schöne Sonnenbrillen! voll lieb, dass du mir mithilfst! Deine Geschichten sind voll lustig! Du hast superschöne Augen! Unterhaltet euch am Abend darüber, wie euer Geggenüber reagiert hat und wie es euch dabei gegangen ist! ",.,1 Tag,,2,,-,
30.0,Andreas,,HOME,Griaß di! ,Jeder aus eurer Patrulle bekommt eine Karte auf der eine Begrüßungsform beschrieben ist. Ließt sie euch durch und begrüßt entsprechend die anderen. Tauscht euch danach dazu aus. ,Einzel,15,,1,,Karten mit Begrüßungsformel,
31.0,Andreas,,HOME,"Here, there, everywhere - together not alone",Ihr führt herausfordende Partneryogaübungen durch - Anmeldung im DiscO., ,45-60,,2,,Yogastellungen?,
32.0,Andreas,Archiv,HOME,High Kicks,Bewältigt in der Kleingruppe den Hochseilgarten High-Kicks! Action in schwindelerregender Höhe garatniert. Anmeldung im DiscO.,.,,,1,,-,
33.0,Andreas,,HOME,HOME aus Menschen,Bildet gemeinsam mit einer oder zwei anderen kleinen Gruppen aus euren Körpern den Schriftzug HOME und macht ein Foto davon! , ,20,,1,,-,
34.0,Andreas,,HOME,Hütte,Baut eine Hütte/ einen Unterstand aus Naturmaterialien in die/ in den ihr alle reinpasst und macht ein Selfie von euch in eurer Hütte., ,90,,2,,-,
35.0,Andreas,,HOME,Hygiene I,Besucht den Container das Roten Kreuzes. Entdeckt die Hygienefallen am Lager und setzt euch mit einer davon auseinander. , ,40,,1,???,-,
36.0,Andreas,,HOME,Hygiene II,"Auf Basis der Challenge ""Hygiene I"" versucht ihr die Hygienestandards auf dem Lager mit gezielten Maßnahmen zu verbessern.", ,60-90,,2,???,-,
37.0,Andreas,,HOME,Inselexperiment ,"Stellt euch vor gemeinsam auf einer einsamen Insel gestrandet zu sein, auf der nur bestimmte Ressourcen vorhanden sind und wo ihr nun entscheiden müsst,  wie ihr euer Zusammenleben regelt und mir diese Ressourcen bestmöglich nutzen können. Das Ziel ist es, euch gemeinsam auf eine Lösung zu einigen und die unterschiedlichen Möglichkeiten zu besprechen. Material in DiscO. ",Gruppe,60,,2,,-,
38.0,Andreas,,HOME,International Selfie,Macht mit mind. 4 ausländischen Kleingruppen ein Selfie., ,30,,2,,-,
39.0,Andreas,,HOME,Knots 2.0 Do our own paracord,"Kreatives Gestalten mit Schnüren und Knoten. Erstelle dein eigenes Paracord in Form von Anhängern, Armbändern u.a. Anmeldung im DiscO.", ,40-60,,3,,Paracord,
40.0,Andreas,,HOME,"Komm, spiel mit mir ",Sucht euch eine zweite Patrulle und bringt euch gegenseitig ein Spiel bei! , ,30,,1,,-,
41.0,Andreas,,HOME,Lach-Yoga,Leitet am Marktplatz die vorbeigehenden CaEx zu Lachyoga an (Yoga+Lachen). Schaut euch dazu zunächst ein Youtube Video an!, ,90,,3,,-,
42.0,Andreas,,HOME,Lagerplatzumrundung,"Geht zu Fuß (hüpfen, laufen, rennen…) einmal rund um den Lagerplatz (alle Stufen)! Mutige drürfen sich ein Fahrrad organisieren...",Einzel o. Gruppe,60,,3,,-,
43.0,Andreas,,HOME,Lebensgeschichte,"Erfahre mehr über Erlebnisse mit unterschiedlichen Gefühlen, welche deiner Kleingruppenmitgliedern gemacht haben.", ,30,,2,,-,
44.0,Andreas,,HOME,Leonardo Brücke I,"Baue eine Brücke ohne den Einsatz von Seilen, Nägeln und sonstigen Hilfsmitteln mit den dir zur Verfügung gestellten Sparteln oder Streichhölzer.", ,10-15,,2,,"Holzspatel, Streichölzer, Eisstiele, Zahnstocher",
